year,oil_prod
1900,63.621
1901,69.389
1902,88.767
1903,100.461
1904,117.081
1905,134.717
1906,126.494
1907,166.095
1908,178.527
1909,183.171
1910,209.557
1911,220.449
1912,222.935
1913,248.446
1914,265.763
1915,281.104
1916,300.767
1917,335.316
1918,355.928
1919,378.367
1920,442.929
1921,472.183
1922,557.531
1923,732.407
1924,713.94
1925,620.373
1926,770.874
1927,901.129
1928,901.474
1929,1007.323
1930,898.011
1931,851.081
1932,785.159
1933,905.656
1934,908.065
1935,993.942
1936,1098.513
1937,1277.653
1938,1213.254
1939,1264.256
1940,1503.176
1941,1404.182
1942,1385.479
1943,1505.613
1944,1677.904
1945,1713.655
1946,1733.424
1947,1856.987
1948,2020.185
1949,1841.94
1950,1973.574
1951,2247.711
1952,2289.836
1953,2357.082
1954,2314.988
1955,2484.428
1956,2617.283
1957,2616.901
1958,2448.987
1959,2574.59
1960,2574.933
1961,2621.758
1962,2676.189
1963,2752.723
1964,2786.822
1965,2848.514
1966,3027.763
1967,3215.742
1968,3329.042
1969,3371.751
1970,3517.45
1971,3453.914
1972,3455.368
1973,3360.903
1974,3202.585
1975,3056.779
1976,2976.18
1977,3009.265
1978,3178.216
1979,3121.31
1980,3146.365
1981,3128.624
1982,3156.715
1983,3170.999
1984,3249.696
1985,3274.553
1986,3168.252
1987,3047.378
1988,2979.123
1989,2778.773
1990,2684.687
1991,2707.039
1992,2624.632
1993,2499.033
1994,2431.476
1995,2394.268
1996,2366.017
1997,2354.831
1998,2281.919
1999,2146.732
2000,2130.707
2001,2117.511
2002,2096.588
2003,2061.995
2004,1991.394
2005,1892.095
2006,1856.34
2007,1851.974
2008,1829.88
2009,1955.194
2010,2001.805
2011,2071.085
2012,2387.461
2013,2736.608
2014,3209.106
2015,3445.992
2016,3237.056
2017,3415.257
2018,3993.288
2019,4485.653
2020,4129.563
